"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,5.1666670000,0.0014991760
0.0200000000,5.3333330000,0.0018253330
0.0400000000,5.5000000000,0.0021076200
0.0600000000,7.1666670000,0.0024318700
0.0800000000,11.0000000000,0.0027580260
0.1000000000,13.8333300000,0.0030822750
0.1200000000,13.8333300000,0.0034465790
0.1400000000,13.5000000000,0.0037708280
0.1600000000,13.0000000000,0.0040950780
0.1800000000,12.6666700000,0.0044612880
0.2000000000,12.6666700000,0.0047855380
0.2200000000,12.6666700000,0.0051097870
0.2400000000,12.8333300000,0.0054740910
0.2600000000,12.8333300000,0.0057983400
0.2800000000,12.8333300000,0.0061225890
0.3000000000,12.8333300000,0.0064888000
0.3200000000,12.1666700000,0.0068130490
0.3400000000,12.0000000000,0.0071372990
0.3600000000,12.3333300000,0.0074615480
0.3800000000,13.0000000000,0.0077857970
0.4000000000,14.0000000000,0.0081501010
0.4200000000,14.0000000000,0.0084762570
0.4400000000,14.0000000000,0.0088005070
0.4600000000,14.1666700000,0.0091648100
0.4800000000,14.1666700000,0.0094890590
0.5000000000,14.1666700000,0.0098133090
0.5200000000,13.3333300000,0.0101795200
0.5400000000,12.8333300000,0.0105037700
0.5600000000,12.6666700000,0.0108280200
0.5800000000,13.0000000000,0.0111522700
0.6000000000,14.1666700000,0.0114765200
0.6200000000,14.8333300000,0.0118408200
0.6400000000,14.8333300000,0.0121650700
0.6600000000,14.8333300000,0.0124912300
0.6800000000,15.1666700000,0.0128154800
0.7000000000,15.8333300000,0.0131397200
0.7200000000,15.8333300000,0.0135040300
0.7400000000,15.1666700000,0.0138282800
0.7600000000,14.6666700000,0.0141525300
0.7800000000,14.0000000000,0.0144767800
0.8000000000,12.6666700000,0.0148429900
0.8200000000,12.6666700000,0.0151672400
0.8400000000,12.6666700000,0.0154914900
0.8600000000,13.6666700000,0.0158557900
0.8800000000,14.8333300000,0.0161800400
0.9000000000,14.6666700000,0.0165062000
0.9200000000,13.5000000000,0.0168304400
0.9400000000,13.3333300000,0.0171546900
0.9600000000,14.1666700000,0.0174789400
0.9800000000,14.8333300000,0.0178031900
1.0000000000,14.8333300000,0.0181675000
1.0200000000,14.8333300000,0.0184917400
1.0400000000,15.0000000000,0.0188179000
1.0600000000,15.6666700000,0.0191421500
1.0800000000,16.5000000000,0.0194664000
1.1000000000,16.3333300000,0.0198307000
1.1200000000,15.8333300000,0.0201549500
1.1400000000,15.5000000000,0.0204792000
1.1600000000,14.8333300000,0.0208034500
1.1800000000,14.3333300000,0.0211696600
1.2000000000,14.3333300000,0.0214939100
1.2200000000,15.3333300000,0.0218181600
1.2400000000,17.0000000000,0.0221424100
1.2600000000,17.6666700000,0.0224666600
1.2800000000,17.1666700000,0.0227909100
1.3000000000,15.8333300000,0.0231151600
1.3200000000,13.1666700000,0.0234813700
1.3400000000,12.6666700000,0.0238056200
1.3600000000,12.5000000000,0.0241298700
1.3800000000,12.5000000000,0.0244541200
1.4000000000,13.0000000000,0.0247783700
1.4200000000,13.8333300000,0.0251426700
1.4400000000,14.6666700000,0.0254688300
1.4600000000,15.5000000000,0.0257930800
1.4800000000,16.0000000000,0.0261173200
1.5000000000,16.0000000000,0.0264816300
1.5200000000,16.0000000000,0.0268058800
1.5400000000,16.3333300000,0.0271301300
1.5600000000,16.6666700000,0.0274543800
1.5800000000,17.0000000000,0.0278205900
1.6000000000,17.8333300000,0.0281448400
1.6200000000,19.0000000000,0.0284690900
1.6400000000,19.0000000000,0.0287933300
1.6600000000,18.1666700000,0.0291175800
1.6800000000,17.3333300000,0.0294418300
1.7000000000,16.8333300000,0.0297660800
1.7200000000,16.8333300000,0.0301322900
1.7400000000,16.6666700000,0.0304565400
1.7600000000,16.3333300000,0.0307807900
1.7800000000,15.8333300000,0.0311050400
1.8000000000,15.8333300000,0.0314693500
1.8200000000,15.6666700000,0.0317955000
1.8400000000,15.6666700000,0.0321197500
1.8600000000,15.1666700000,0.0324440000
1.8800000000,14.6666700000,0.0328083000
1.9000000000,14.8333300000,0.0331325500
1.9200000000,15.8333300000,0.0334568000
1.9400000000,17.1666700000,0.0337810500
1.9600000000,17.5000000000,0.0341053000
1.9800000000,17.5000000000,0.0344715100
2.0000000000,17.3333300000,0.0347957600
2.0200000000,17.3333300000,0.0351200100
2.0400000000,17.3333300000,0.0354442600
2.0600000000,17.8333300000,0.0357685100
2.0800000000,17.8333300000,0.0361347200
2.1000000000,17.5000000000,0.0364589700
2.1200000000,17.5000000000,0.0367832200
2.1400000000,15.1666700000,0.0371475200
2.1600000000,14.5000000000,0.0374717700
2.1800000000,15.1666700000,0.0377960200
2.2000000000,16.3333300000,0.0381622300
2.2200000000,16.3333300000,0.0384864800
2.2400000000,16.1666700000,0.0388107300
2.2600000000,16.1666700000,0.0391349800
2.2800000000,16.1666700000,0.0394592300
2.3000000000,16.6666700000,0.0398235300
2.3200000000,18.8333300000,0.0401496900
2.3400000000,18.8333300000,0.0404739400
2.3600000000,18.3333300000,0.0407981900
2.3800000000,18.0000000000,0.0411224400
2.4000000000,18.3333300000,0.0414867400
2.4200000000,19.1666700000,0.0418109900
2.4400000000,20.0000000000,0.0421352400
2.4600000000,20.8333300000,0.0425014500
