"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,5.5000000000,0.0016193390
0.0200000000,5.6666670000,0.0019454960
0.0400000000,5.8333330000,0.0022277830
0.0600000000,5.8333330000,0.0025539400
0.0800000000,5.6666670000,0.0028781890
0.1000000000,5.6666670000,0.0032024380
0.1200000000,8.5000000000,0.0035266880
0.1400000000,10.3333300000,0.0038909910
0.1600000000,10.1666700000,0.0042152400
0.1800000000,9.3333330000,0.0045394900
0.2000000000,9.3333330000,0.0048637390
0.2200000000,10.3333300000,0.0051898960
0.2400000000,11.0000000000,0.0055541990
0.2600000000,10.6666700000,0.0058784480
0.2800000000,8.8333330000,0.0062026980
0.3000000000,7.5000000000,0.0065670010
0.3200000000,7.1666670000,0.0068931580
0.3400000000,7.1666670000,0.0072574620
0.3600000000,7.3333330000,0.0075817110
0.3800000000,7.8333330000,0.0079059600
0.4000000000,8.1666670000,0.0082721710
0.4200000000,10.0000000000,0.0085964200
0.4400000000,11.0000000000,0.0089206700
0.4600000000,10.8333300000,0.0092449190
0.4800000000,10.0000000000,0.0095691680
0.5000000000,10.0000000000,0.0099334720
0.5200000000,10.6666700000,0.0102577200
0.5400000000,11.1666700000,0.0105819700
0.5600000000,11.1666700000,0.0109081300
0.5800000000,11.1666700000,0.0112724300
0.6000000000,12.5000000000,0.0115966800
0.6200000000,12.8333300000,0.0119209300
0.6400000000,12.6666700000,0.0122451800
0.6600000000,12.3333300000,0.0126113900
0.6800000000,11.3333300000,0.0129356400
0.7000000000,11.0000000000,0.0132598900
0.7200000000,10.6666700000,0.0136241900
0.7400000000,10.3333300000,0.0139484400
0.7600000000,9.8333330000,0.0142726900
0.7800000000,8.3333330000,0.0145969400
0.8000000000,5.3333330000,0.0149231000
0.8200000000,4.8333330000,0.0152473400
0.8400000000,5.6666670000,0.0156116500
0.8600000000,6.6666670000,0.0159359000
0.8800000000,6.6666670000,0.0162601500
0.9000000000,6.6666670000,0.0165844000
0.9200000000,7.1666670000,0.0169506100
0.9400000000,8.1666670000,0.0172748600
0.9600000000,9.5000000000,0.0175991100
0.9800000000,10.6666700000,0.0179634100
1.0000000000,11.0000000000,0.0182876600
1.0200000000,11.0000000000,0.0186119100
1.0400000000,11.0000000000,0.0189781200
1.0600000000,11.6666700000,0.0193023700
1.0800000000,12.8333300000,0.0196266200
1.1000000000,12.8333300000,0.0199508700
1.1200000000,12.8333300000,0.0202751200
1.1400000000,11.8333300000,0.0206413300
1.1600000000,10.6666700000,0.0209655800
1.1800000000,10.5000000000,0.0212898300
1.2000000000,10.5000000000,0.0216140700
1.2200000000,10.1666700000,0.0219383200
1.2400000000,10.0000000000,0.0223026300
1.2600000000,10.0000000000,0.0226268800
1.2800000000,10.5000000000,0.0229530300
1.3000000000,12.8333300000,0.0233173400
1.3200000000,13.0000000000,0.0236415900
1.3400000000,12.1666700000,0.0239658400
1.3600000000,11.0000000000,0.0242900800
1.3800000000,10.0000000000,0.0246563000
1.4000000000,10.0000000000,0.0249805500
1.4200000000,10.1666700000,0.0253047900
1.4400000000,10.6666700000,0.0256290400
1.4600000000,11.1666700000,0.0259532900
1.4800000000,11.1666700000,0.0262775400
1.5000000000,11.6666700000,0.0266017900
1.5200000000,11.6666700000,0.0269680000
1.5400000000,13.0000000000,0.0272922500
1.5600000000,14.1666700000,0.0276165000
1.5800000000,13.8333300000,0.0279407500
1.6000000000,12.3333300000,0.0283050500
1.6200000000,12.1666700000,0.0286293000
1.6400000000,13.3333300000,0.0289535500
1.6600000000,14.1666700000,0.0292778000
1.6800000000,13.8333300000,0.0296440100
1.7000000000,11.6666700000,0.0299682600
1.7200000000,11.0000000000,0.0302925100
1.7400000000,10.8333300000,0.0306167600
1.7600000000,10.6666700000,0.0309810600
1.7800000000,11.0000000000,0.0313072200
1.8000000000,12.5000000000,0.0316314700
1.8200000000,12.5000000000,0.0319557200
1.8400000000,12.6666700000,0.0322799700
1.8600000000,12.6666700000,0.0326042200
1.8800000000,12.6666700000,0.0329284700
1.9000000000,12.5000000000,0.0332927700
1.9200000000,12.5000000000,0.0336189300
1.9400000000,15.5000000000,0.0339431800
1.9600000000,17.5000000000,0.0343074800
1.9800000000,16.8333300000,0.0346317300
2.0000000000,14.0000000000,0.0349559800
2.0200000000,13.1666700000,0.0352802300
2.0400000000,12.8333300000,0.0356464400
2.0600000000,12.6666700000,0.0359706900
2.0800000000,12.8333300000,0.0362949400
2.1000000000,13.5000000000,0.0366191900
2.1200000000,15.0000000000,0.0369434400
2.1400000000,15.3333300000,0.0372676800
2.1600000000,14.8333300000,0.0375919300
2.1800000000,14.3333300000,0.0379581500
2.2000000000,14.0000000000,0.0382823900
2.2200000000,13.6666700000,0.0386066400
2.2400000000,13.6666700000,0.0389308900
2.2600000000,13.6666700000,0.0392952000
2.2800000000,14.3333300000,0.0396194500
2.3000000000,16.1666700000,0.0399456000
2.3200000000,16.1666700000,0.0402698500
2.3400000000,16.1666700000,0.0406341600
2.3600000000,15.3333300000,0.0409584000
2.3800000000,14.1666700000,0.0412826500
2.4000000000,14.3333300000,0.0416069000
2.4200000000,16.6666700000,0.0419311500
2.4400000000,19.0000000000,0.0422554000
2.4600000000,20.0000000000,0.0425815600
2.4800000000,19.6666700000,0.0429458600
2.5000000000,18.1666700000,0.0432701100
2.5200000000,15.5000000000,0.0435943600
2.5400000000,14.3333300000,0.0439186100
2.5600000000,13.8333300000,0.0442428600
2.5800000000,14.0000000000,0.0445671100
