"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,5.3333330000,-0.0317153900
0.0200000000,6.3333330000,-0.0314312000
0.0400000000,6.6666670000,-0.0311069500
0.0600000000,6.3333330000,-0.0307827000
0.0800000000,5.3333330000,-0.0304584500
0.1000000000,5.1666670000,-0.0301322900
0.1200000000,5.0000000000,-0.0298080400
0.1400000000,4.8333330000,-0.0294838000
0.1600000000,5.3333330000,-0.0291595500
0.1800000000,6.6666670000,-0.0287952400
0.2000000000,6.6666670000,-0.0284709900
0.2200000000,5.8333330000,-0.0281467400
0.2400000000,5.0000000000,-0.0278224900
0.2600000000,4.3333330000,-0.0274963400
0.2800000000,4.1666670000,-0.0271320300
0.3000000000,4.1666670000,-0.0268077900
0.3200000000,5.3333330000,-0.0264434800
0.3400000000,6.6666670000,-0.0261192300
0.3600000000,7.3333330000,-0.0257530200
0.3800000000,7.5000000000,-0.0254287700
0.4000000000,7.5000000000,-0.0251045200
0.4200000000,8.0000000000,-0.0247402200
0.4400000000,8.1666670000,-0.0244140600
0.4600000000,8.3333330000,-0.0240898100
0.4800000000,8.3333330000,-0.0237655600
0.5000000000,8.1666670000,-0.0234413100
0.5200000000,8.0000000000,-0.0231170700
0.5400000000,7.8333330000,-0.0227928200
0.5600000000,7.3333330000,-0.0224285100
0.5800000000,6.6666670000,-0.0221042600
0.6000000000,6.3333330000,-0.0217781100
0.6200000000,6.3333330000,-0.0214538600
0.6400000000,7.0000000000,-0.0211296100
0.6600000000,7.8333330000,-0.0207653000
0.6800000000,8.3333330000,-0.0204410600
0.7000000000,8.3333330000,-0.0201168100
0.7200000000,7.3333330000,-0.0197506000
0.7400000000,7.0000000000,-0.0194263500
0.7600000000,6.8333330000,-0.0191021000
0.7800000000,6.8333330000,-0.0187778500
0.8000000000,7.1666670000,-0.0184536000
0.8200000000,7.5000000000,-0.0181293500
0.8400000000,9.0000000000,-0.0178051000
0.8600000000,9.8333330000,-0.0174808500
0.8800000000,9.8333330000,-0.0171146400
0.9000000000,9.6666670000,-0.0167903900
0.9200000000,9.3333330000,-0.0164661400
0.9400000000,9.1666670000,-0.0161418900
0.9600000000,9.1666670000,-0.0157775900
0.9800000000,9.0000000000,-0.0154514300
1.0000000000,8.3333330000,-0.0151271800
1.0200000000,7.8333330000,-0.0148029300
1.0400000000,7.6666670000,-0.0144386300
1.0600000000,8.1666670000,-0.0141143800
1.0800000000,8.8333330000,-0.0137901300
1.1000000000,8.8333330000,-0.0134658800
1.1200000000,8.8333330000,-0.0131416300
1.1400000000,9.3333330000,-0.0127754200
1.1600000000,9.5000000000,-0.0124511700
1.1800000000,9.5000000000,-0.0121269200
1.2000000000,9.6666670000,-0.0118026700
1.2200000000,9.6666670000,-0.0114784200
1.2400000000,10.5000000000,-0.0111122100
1.2600000000,11.1666700000,-0.0107879600
1.2800000000,12.3333300000,-0.0104637100
1.3000000000,14.3333300000,-0.0100994100
1.3200000000,15.1666700000,-0.0097751620
1.3400000000,15.3333300000,-0.0094509120
1.3600000000,14.6666700000,-0.0090847020
1.3800000000,13.8333300000,-0.0087604520
1.4000000000,13.8333300000,-0.0084362030
1.4200000000,14.0000000000,-0.0081119540
1.4400000000,14.0000000000,-0.0077476500
1.4600000000,12.5000000000,-0.0074234010
1.4800000000,10.5000000000,-0.0070972440
1.5000000000,8.8333330000,-0.0067729950
1.5200000000,7.0000000000,-0.0064487460
1.5400000000,6.8333330000,-0.0060844420
1.5600000000,7.8333330000,-0.0057601930
1.5800000000,9.0000000000,-0.0054359440
1.6000000000,9.0000000000,-0.0051116940
1.6200000000,9.0000000000,-0.0047454830
1.6400000000,9.8333330000,-0.0044212340
1.6600000000,10.8333300000,-0.0040969850
1.6800000000,11.8333300000,-0.0037326810
1.7000000000,12.3333300000,-0.0034084320
1.7200000000,13.0000000000,-0.0030822750
1.7400000000,13.3333300000,-0.0027580260
1.7600000000,14.1666700000,-0.0023937230
1.7800000000,15.0000000000,-0.0020694730
1.8000000000,15.1666700000,-0.0017452240
1.8200000000,15.1666700000,-0.0014209750
1.8400000000,15.1666700000,-0.0010967250
1.8600000000,14.3333300000,-0.0007705688
1.8800000000,13.8333300000,-0.0004062653
1.9000000000,13.8333300000,-0.0000820160
1.9200000000,14.6666700000,0.0002422333
1.9400000000,14.8333300000,0.0005664825
1.9600000000,14.6666700000,0.0009326935
1.9800000000,14.5000000000,0.0012569430
2.0000000000,14.5000000000,0.0015811920
2.0200000000,14.6666700000,0.0019054410
2.0400000000,14.6666700000,0.0022697450
2.0600000000,14.5000000000,0.0025939940
2.0800000000,14.1666700000,0.0029182430
2.1000000000,13.5000000000,0.0032444000
2.1200000000,13.5000000000,0.0035686490
2.1400000000,14.1666700000,0.0039329530
2.1600000000,15.1666700000,0.0042572020
2.1800000000,16.1666700000,0.0045814510
2.2000000000,17.1666700000,0.0049057010
2.2200000000,17.1666700000,0.0052299500
2.2400000000,17.3333300000,0.0055961610
2.2600000000,17.5000000000,0.0059204100
2.2800000000,17.6666700000,0.0062446590
2.3000000000,17.8333300000,0.0065689090
2.3200000000,18.3333300000,0.0069332120
2.3400000000,17.8333300000,0.0072593690
2.3600000000,17.3333300000,0.0075836180
2.3800000000,16.8333300000,0.0079078670
2.4000000000,16.5000000000,0.0082721710
2.4200000000,16.5000000000,0.0085964200
2.4400000000,17.8333300000,0.0089206700
2.4600000000,19.5000000000,0.0092449190
2.4800000000,20.5000000000,0.0095691680
2.5000000000,20.1666700000,0.0098953250
2.5200000000,18.6666700000,0.0102596300
2.5400000000,18.6666700000,0.0105838800
2.5600000000,19.6666700000,0.0109081300
2.5800000000,20.3333300000,0.0112323800
2.6000000000,20.1666700000,0.0115566300
2.6200000000,19.3333300000,0.0119228400
2.6400000000,19.3333300000,0.0122470900
2.6600000000,19.8333300000,0.0125713300
2.6800000000,20.1666700000,0.0128955800
2.7000000000,20.1666700000,0.0132598900
2.7200000000,20.1666700000,0.0135841400
2.7400000000,20.1666700000,0.0139102900
2.7600000000,20.5000000000,0.0142345400
2.7800000000,20.8333300000,0.0145587900
2.8000000000,21.0000000000,0.0148830400
2.8200000000,21.5000000000,0.0152473400
2.8400000000,22.0000000000,0.0155715900
2.8600000000,22.1666700000,0.0158958400
2.8800000000,21.6666700000,0.0162220000
2.9000000000,21.0000000000,0.0165462500
2.9200000000,20.6666700000,0.0168705000
2.9400000000,19.6666700000,0.0172348000
2.9600000000,19.5000000000,0.0175590500
2.9800000000,20.8333300000,0.0178833000
3.0000000000,22.6666700000,0.0182495100
3.0200000000,23.0000000000,0.0185737600
3.0400000000,23.0000000000,0.0188980100
3.0600000000,23.3333300000,0.0192222600
3.0800000000,23.5000000000,0.0195865600
3.1000000000,23.6666700000,0.0199108100
3.1200000000,24.0000000000,0.0202350600
