"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,4.5000000000,0.0007705688
0.0200000000,4.5000000000,0.0008926392
0.0400000000,4.5000000000,0.0010547640
0.0600000000,4.6666670000,0.0012168880
0.0800000000,4.8333330000,0.0013790130
0.1000000000,4.8333330000,0.0015411380
0.1200000000,5.0000000000,0.0017032620
0.1400000000,8.5000000000,0.0018672940
0.1600000000,9.1666670000,0.0020694730
0.1800000000,9.6666670000,0.0022315980
0.2000000000,10.1666700000,0.0023937230
0.2200000000,10.1666700000,0.0025558470
0.2400000000,10.5000000000,0.0027179720
0.2600000000,10.6666700000,0.0028800960
0.2800000000,10.0000000000,0.0030822750
0.3000000000,9.1666670000,0.0032444000
0.3200000000,9.0000000000,0.0034065250
0.3400000000,8.6666670000,0.0035705570
0.3600000000,8.5000000000,0.0037326810
0.3800000000,9.6666670000,0.0039348600
0.4000000000,11.0000000000,0.0040969850
0.4200000000,11.0000000000,0.0042591090
0.4400000000,11.0000000000,0.0044212340
0.4600000000,11.0000000000,0.0045833590
0.4800000000,11.0000000000,0.0047855380
0.5000000000,11.0000000000,0.0049476620
0.5200000000,11.1666700000,0.0051116940
0.5400000000,11.8333300000,0.0052738190
0.5600000000,11.8333300000,0.0054359440
0.5800000000,11.8333300000,0.0055980680
0.6000000000,12.6666700000,0.0058002470
0.6200000000,14.8333300000,0.0059623720
0.6400000000,14.8333300000,0.0061244960
0.6600000000,13.1666700000,0.0062866210
0.6800000000,12.3333300000,0.0064487460
0.7000000000,11.8333300000,0.0066108700
0.7200000000,11.6666700000,0.0067729950
0.7400000000,11.3333300000,0.0069770810
0.7600000000,10.3333300000,0.0071392060
0.7800000000,10.0000000000,0.0073013310
0.8000000000,10.0000000000,0.0074634550
0.8200000000,10.1666700000,0.0076255800
0.8400000000,11.1666700000,0.0077877040
0.8600000000,11.3333300000,0.0079498290
0.8800000000,11.3333300000,0.0081520080
0.9000000000,11.6666700000,0.0083141330
0.9200000000,12.1666700000,0.0084762570
0.9400000000,12.5000000000,0.0086383820
0.9600000000,12.5000000000,0.0088005070
0.9800000000,13.1666700000,0.0089626310
1.0000000000,13.8333300000,0.0091667180
1.0200000000,13.8333300000,0.0093288420
1.0400000000,13.8333300000,0.0094909670
1.0600000000,13.6666700000,0.0096530910
1.0800000000,13.1666700000,0.0098152160
1.1000000000,12.6666700000,0.0099773410
1.1200000000,12.1666700000,0.0101394700
1.1400000000,11.3333300000,0.0103015900
1.1600000000,11.1666700000,0.0105037700
1.1800000000,11.8333300000,0.0106658900
1.2000000000,12.5000000000,0.0108299300
1.2200000000,12.0000000000,0.0109920500
1.2400000000,10.0000000000,0.0111541700
1.2600000000,9.8333330000,0.0113163000
1.2800000000,10.6666700000,0.0114784200
1.3000000000,11.3333300000,0.0116405500
1.3200000000,11.5000000000,0.0118026700
1.3400000000,11.6666700000,0.0119648000
1.3600000000,11.6666700000,0.0121269200
1.3800000000,10.8333300000,0.0123291000
1.4000000000,10.1666700000,0.0124912300
1.4200000000,9.8333330000,0.0126533500
1.4400000000,9.3333330000,0.0128154800
1.4600000000,8.0000000000,0.0129776000
1.4800000000,7.6666670000,0.0131397200
1.5000000000,8.1666670000,0.0133037600
1.5200000000,8.8333330000,0.0134658800
1.5400000000,9.1666670000,0.0136280100
1.5600000000,9.1666670000,0.0138301800
1.5800000000,8.6666670000,0.0139923100
1.6000000000,8.5000000000,0.0141544300
1.6200000000,9.1666670000,0.0143165600
1.6400000000,11.5000000000,0.0144786800
1.6600000000,12.3333300000,0.0146408100
1.6800000000,12.6666700000,0.0148029300
1.7000000000,12.6666700000,0.0149650600
1.7200000000,12.3333300000,0.0151691400
1.7400000000,11.3333300000,0.0153312700
1.7600000000,10.3333300000,0.0154933900
1.7800000000,10.0000000000,0.0156555200
1.8000000000,9.8333330000,0.0158176400
1.8200000000,10.1666700000,0.0159797700
1.8400000000,11.5000000000,0.0161418900
1.8600000000,11.5000000000,0.0163040200
1.8800000000,11.5000000000,0.0164661400
1.9000000000,11.8333300000,0.0166282700
1.9200000000,12.1666700000,0.0167903900
1.9400000000,12.3333300000,0.0169525100
1.9600000000,12.3333300000,0.0171546900
1.9800000000,12.6666700000,0.0173187300
2.0000000000,12.8333300000,0.0174808500
2.0200000000,13.6666700000,0.0176429700
2.0400000000,15.8333300000,0.0178051000
2.0600000000,15.8333300000,0.0179672200
2.0800000000,13.1666700000,0.0181293500
2.1000000000,10.8333300000,0.0182914700
2.1200000000,9.6666670000,0.0184536000
2.1400000000,9.8333330000,0.0186157200
2.1600000000,10.5000000000,0.0187778500
2.1800000000,11.6666700000,0.0189399700
2.2000000000,12.1666700000,0.0191021000
2.2200000000,12.1666700000,0.0192642200
2.2400000000,12.1666700000,0.0194664000
2.2600000000,10.8333300000,0.0196285200
2.2800000000,10.5000000000,0.0197925600
2.3000000000,10.3333300000,0.0199546800
2.3200000000,10.1666700000,0.0201168100
2.3400000000,10.3333300000,0.0202789300
2.3600000000,10.8333300000,0.0204410600
2.3800000000,11.6666700000,0.0206031800
2.4000000000,11.8333300000,0.0207653000
2.4200000000,11.6666700000,0.0209674800
2.4400000000,10.8333300000,0.0211296100
2.4600000000,10.1666700000,0.0212917300
2.4800000000,10.0000000000,0.0214538600
2.5000000000,10.0000000000,0.0216159800
2.5200000000,10.0000000000,0.0217781100
2.5400000000,10.0000000000,0.0219402300
2.5600000000,10.0000000000,0.0221023600
2.5800000000,10.1666700000,0.0222663900
2.6000000000,11.3333300000,0.0224285100
2.6200000000,12.3333300000,0.0226306900
2.6400000000,12.3333300000,0.0227928200
2.6600000000,12.3333300000,0.0229549400
2.6800000000,12.3333300000,0.0231170700
2.7000000000,12.6666700000,0.0232791900
2.7200000000,12.8333300000,0.0234413100
2.7400000000,13.0000000000,0.0236034400
2.7600000000,13.5000000000,0.0237655600
2.7800000000,14.6666700000,0.0239276900
2.8000000000,15.1666700000,0.0241317700
2.8200000000,14.3333300000,0.0242939000
2.8400000000,12.3333300000,0.0244560200
2.8600000000,12.3333300000,0.0246181500
2.8800000000,12.5000000000,0.0247802700
2.9000000000,12.6666700000,0.0249424000
2.9200000000,12.3333300000,0.0251445800
2.9400000000,11.6666700000,0.0253067000
2.9600000000,10.0000000000,0.0254688300
2.9800000000,9.8333330000,0.0256309500
3.0000000000,9.8333330000,0.0257930800
3.0200000000,10.0000000000,0.0259552000
3.0400000000,10.3333300000,0.0261592900
3.0600000000,10.6666700000,0.0263214100
3.0800000000,12.1666700000,0.0264835400
3.1000000000,12.6666700000,0.0266456600
3.1200000000,12.1666700000,0.0268077900
3.1400000000,11.6666700000,0.0269699100
3.1600000000,11.6666700000,0.0271320300
3.1800000000,11.6666700000,0.0273342100
3.2000000000,11.8333300000,0.0274963400
3.2200000000,11.5000000000,0.0276584600
3.2400000000,11.1666700000,0.0278205900
3.2600000000,11.1666700000,0.0279846200
3.2800000000,12.3333300000,0.0281467400
3.3000000000,12.6666700000,0.0283088700
3.3200000000,12.6666700000,0.0284709900
3.3400000000,12.6666700000,0.0286331200
3.3600000000,12.5000000000,0.0287952400
3.3800000000,12.1666700000,0.0289974200
3.4000000000,11.1666700000,0.0291595500
3.4200000000,10.5000000000,0.0293216700
3.4400000000,11.1666700000,0.0294838000
3.4600000000,14.1666700000,0.0296459200
3.4800000000,14.1666700000,0.0298080400
3.5000000000,13.8333300000,0.0299701700
3.5200000000,13.5000000000,0.0301322900
3.5400000000,13.5000000000,0.0302963300
3.5600000000,13.5000000000,0.0304985000
3.5800000000,13.3333300000,0.0306606300
3.6000000000,12.8333300000,0.0308227500
3.6200000000,12.5000000000,0.0309848800
3.6400000000,12.5000000000,0.0311470000
3.6600000000,12.5000000000,0.0313091300
3.6800000000,12.5000000000,0.0314712500
3.7000000000,11.3333300000,0.0316734300
3.7200000000,10.5000000000,0.0318355600
3.7400000000,10.6666700000,0.0319995900
3.7600000000,11.1666700000,0.0321617100
3.7800000000,11.1666700000,0.0323238400
3.8000000000,11.1666700000,0.0324859600
3.8200000000,11.5000000000,0.0326480900
3.8400000000,12.0000000000,0.0328102100
3.8600000000,11.8333300000,0.0329723400
3.8800000000,11.3333300000,0.0331344600
3.9000000000,11.3333300000,0.0332965900
3.9200000000,12.0000000000,0.0334987600
3.9400000000,12.8333300000,0.0336608900
3.9600000000,12.8333300000,0.0338230100
3.9800000000,12.1666700000,0.0339851400
4.0000000000,9.8333330000,0.0341472600
4.0200000000,8.6666670000,0.0343093900
4.0400000000,8.3333330000,0.0344734200
4.0600000000,7.8333330000,0.0346355400
4.0800000000,7.8333330000,0.0347976700
4.1000000000,8.3333330000,0.0349597900
4.1200000000,8.8333330000,0.0351219200
4.1400000000,9.0000000000,0.0352840400
4.1600000000,9.0000000000,0.0354461700
4.1800000000,10.0000000000,0.0356483500
4.2000000000,10.3333300000,0.0358104700
4.2200000000,10.8333300000,0.0359726000
4.2400000000,11.5000000000,0.0361347200
4.2600000000,11.5000000000,0.0362968400
4.2800000000,11.5000000000,0.0364589700
4.3000000000,11.5000000000,0.0366210900
4.3200000000,12.5000000000,0.0367832200
4.3400000000,13.3333300000,0.0369472500
4.3600000000,13.3333300000,0.0371494300
4.3800000000,12.6666700000,0.0373115500
4.4000000000,12.1666700000,0.0374736800
4.4200000000,11.1666700000,0.0376358000
4.4400000000,10.3333300000,0.0377979300
4.4600000000,10.5000000000,0.0379600500
4.4800000000,11.5000000000,0.0381221800
4.5000000000,11.6666700000,0.0382843000
4.5200000000,11.5000000000,0.0384464300
4.5400000000,11.5000000000,0.0386085500
4.5600000000,11.6666700000,0.0387706800
4.5800000000,13.0000000000,0.0389328000
4.6000000000,13.3333300000,0.0391368900
4.6200000000,13.5000000000,0.0392990100
4.6400000000,13.6666700000,0.0394611400
4.6600000000,13.6666700000,0.0396232600
4.6800000000,13.6666700000,0.0397853900
4.7000000000,14.0000000000,0.0399475100
4.7200000000,14.1666700000,0.0401096300
4.7400000000,12.8333300000,0.0402717600
4.7600000000,10.5000000000,0.0404338800
4.7800000000,10.5000000000,0.0405960100
4.8000000000,10.5000000000,0.0407581300
4.8200000000,10.5000000000,0.0409202600
4.8400000000,10.8333300000,0.0410823800
4.8600000000,11.3333300000,0.0412864700
4.8800000000,11.3333300000,0.0414485900
4.9000000000,11.3333300000,0.0416107200
4.9200000000,11.6666700000,0.0417728400
4.9400000000,12.0000000000,0.0419349700
4.9600000000,12.1666700000,0.0420970900
4.9800000000,12.1666700000,0.0422592200
5.0000000000,10.8333300000,0.0424614000
5.0200000000,10.5000000000,0.0426235200
5.0400000000,10.5000000000,0.0427856400
5.0600000000,10.6666700000,0.0429477700
5.0800000000,10.8333300000,0.0431098900
5.1000000000,10.6666700000,0.0432720200
5.1200000000,10.6666700000,0.0434761000
5.1400000000,10.1666700000,0.0436382300
5.1600000000,9.6666670000,0.0438003500
5.1800000000,9.6666670000,0.0439624800
5.2000000000,10.8333300000,0.0441246000
5.2200000000,11.1666700000,0.0442867300
5.2400000000,11.1666700000,0.0444488500
5.2600000000,11.3333300000,0.0446109800
5.2800000000,12.1666700000,0.0447731000
5.3000000000,12.1666700000,0.0449771900
5.3200000000,11.8333300000,0.0451393100
5.3400000000,11.8333300000,0.0453014400
5.3600000000,11.8333300000,0.0454635600
5.3800000000,12.0000000000,0.0456256900
5.4000000000,12.0000000000,0.0457878100
5.4200000000,12.3333300000,0.0459499400
5.4400000000,12.5000000000,0.0461120600
5.4600000000,12.6666700000,0.0462741900
5.4800000000,12.6666700000,0.0464763600
5.5000000000,11.3333300000,0.0466384900
5.5200000000,10.8333300000,0.0468006100
5.5400000000,11.8333300000,0.0469627400
5.5600000000,13.1666700000,0.0471248600
5.5800000000,13.1666700000,0.0472869900
5.6000000000,10.6666700000,0.0474910700
5.6200000000,10.0000000000,0.0476532000
5.6400000000,9.5000000000,0.0478153200
5.6600000000,9.3333330000,0.0479774500
5.6800000000,9.1666670000,0.0481395700
5.7000000000,9.1666670000,0.0483017000
5.7200000000,10.0000000000,0.0484638200
5.7400000000,10.5000000000,0.0486660000
5.7600000000,10.6666700000,0.0488281300
5.7800000000,10.6666700000,0.0489902500
5.8000000000,10.6666700000,0.0491542800
5.8200000000,12.0000000000,0.0493164100
5.8400000000,12.6666700000,0.0494785300
5.8600000000,12.6666700000,0.0496406600
5.8800000000,12.6666700000,0.0498027800
5.9000000000,13.0000000000,0.0499649000
5.9200000000,14.0000000000,0.0501670800
5.9400000000,14.3333300000,0.0503292100
5.9600000000,13.3333300000,0.0504913300
5.9800000000,11.0000000000,0.0506534600
6.0000000000,11.0000000000,0.0508155800
6.0200000000,13.5000000000,0.0509777100
6.0400000000,14.6666700000,0.0511398300
6.0600000000,14.1666700000,0.0513019600
6.0800000000,12.6666700000,0.0514659900
6.1000000000,12.6666700000,0.0516281100
6.1200000000,12.6666700000,0.0517902400
6.1400000000,12.6666700000,0.0519523600
6.1600000000,12.6666700000,0.0521545400
6.1800000000,12.8333300000,0.0523166700
6.2000000000,14.3333300000,0.0524787900
6.2200000000,15.3333300000,0.0526409100
6.2400000000,16.0000000000,0.0528030400
6.2600000000,16.1666700000,0.0529651600
6.2800000000,16.1666700000,0.0531272900
6.3000000000,16.1666700000,0.0533313800
6.3200000000,15.5000000000,0.0534935000
6.3400000000,14.8333300000,0.0536556200
6.3600000000,14.0000000000,0.0538177500
6.3800000000,12.8333300000,0.0539798700
6.4000000000,12.8333300000,0.0541420000
6.4200000000,12.8333300000,0.0543041200
6.4400000000,13.0000000000,0.0544662500
6.4600000000,13.0000000000,0.0546684300
