"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,6.5000000000,0.0013771060
0.0200000000,7.8333330000,0.0017032620
0.0400000000,8.5000000000,0.0020275120
0.0600000000,9.3333330000,0.0023517610
0.0800000000,10.5000000000,0.0026760100
0.1000000000,11.5000000000,0.0030002590
0.1200000000,11.8333300000,0.0033245090
0.1400000000,11.8333300000,0.0036487580
0.1600000000,11.1666700000,0.0040149690
0.1800000000,10.6666700000,0.0043392180
0.2000000000,10.8333300000,0.0046634670
0.2200000000,12.1666700000,0.0049877170
0.2400000000,13.1666700000,0.0053520200
0.2600000000,13.6666700000,0.0056762700
0.2800000000,13.8333300000,0.0060005190
0.3000000000,14.1666700000,0.0063667300
0.3200000000,15.1666700000,0.0066909790
0.3400000000,15.3333300000,0.0070552830
0.3600000000,13.5000000000,0.0073795320
0.3800000000,11.8333300000,0.0077037810
0.4000000000,11.8333300000,0.0080699920
0.4200000000,12.1666700000,0.0083942410
0.4400000000,12.1666700000,0.0087585450
0.4600000000,12.1666700000,0.0090827940
0.4800000000,12.5000000000,0.0094070430
0.5000000000,13.3333300000,0.0097332000
0.5200000000,14.5000000000,0.0100574500
0.5400000000,14.6666700000,0.0104217500
0.5600000000,13.1666700000,0.0107460000
0.5800000000,12.0000000000,0.0110702500
0.6000000000,12.0000000000,0.0113945000
0.6200000000,12.0000000000,0.0117187500
0.6400000000,12.1666700000,0.0120430000
0.6600000000,12.3333300000,0.0124092100
0.6800000000,14.1666700000,0.0127334600
0.7000000000,17.1666700000,0.0130577100
0.7200000000,17.1666700000,0.0133819600
0.7400000000,14.1666700000,0.0137462600
0.7600000000,13.3333300000,0.0140724200
0.7800000000,13.1666700000,0.0143966700
0.8000000000,13.0000000000,0.0147609700
0.8200000000,13.0000000000,0.0150852200
0.8400000000,13.0000000000,0.0154094700
0.8600000000,13.8333300000,0.0157337200
0.8800000000,15.5000000000,0.0160579700
0.9000000000,17.1666700000,0.0163841200
0.9200000000,17.1666700000,0.0167083700
0.9400000000,14.6666700000,0.0170726800
0.9600000000,12.6666700000,0.0173969300
0.9800000000,11.3333300000,0.0177211800
1.0000000000,10.6666700000,0.0180454300
1.0200000000,10.6666700000,0.0184116400
1.0400000000,12.1666700000,0.0187358900
1.0600000000,14.8333300000,0.0190601300
1.0800000000,16.3333300000,0.0193843800
1.1000000000,16.1666700000,0.0197486900
1.1200000000,15.3333300000,0.0200729400
1.1400000000,15.3333300000,0.0203990900
1.1600000000,15.5000000000,0.0207233400
1.1800000000,16.3333300000,0.0210876500
1.2000000000,17.1666700000,0.0214119000
1.2200000000,17.3333300000,0.0217361500
1.2400000000,17.8333300000,0.0220603900
1.2600000000,17.5000000000,0.0223846400
1.2800000000,17.3333300000,0.0227088900
1.3000000000,17.0000000000,0.0230350500
1.3200000000,16.0000000000,0.0233993500
1.3400000000,16.0000000000,0.0237236000
1.3600000000,16.0000000000,0.0240478500
1.3800000000,16.1666700000,0.0243721000
1.4000000000,16.3333300000,0.0247383100
1.4200000000,16.3333300000,0.0250625600
1.4400000000,16.0000000000,0.0253868100
1.4600000000,15.1666700000,0.0257110600
1.4800000000,14.5000000000,0.0260753600
1.5000000000,14.3333300000,0.0263996100
1.5200000000,14.5000000000,0.0267238600
1.5400000000,17.1666700000,0.0270500200
1.5600000000,17.6666700000,0.0273742700
1.5800000000,17.6666700000,0.0276985200
1.6000000000,17.5000000000,0.0280227700
1.6200000000,17.6666700000,0.0283470200
1.6400000000,18.6666700000,0.0287113200
1.6600000000,18.8333300000,0.0290355700
1.6800000000,18.6666700000,0.0293617200
1.7000000000,18.0000000000,0.0296859700
1.7200000000,17.3333300000,0.0300502800
1.7400000000,16.1666700000,0.0303745300
1.7600000000,16.0000000000,0.0306987800
1.7800000000,16.1666700000,0.0310230300
1.8000000000,16.8333300000,0.0313892400
1.8200000000,18.1666700000,0.0317134900
1.8400000000,19.1666700000,0.0320377300
1.8600000000,20.5000000000,0.0323619800
1.8800000000,20.8333300000,0.0326862300
1.9000000000,20.8333300000,0.0330104800
1.9200000000,21.0000000000,0.0333766900
1.9400000000,21.8333300000,0.0337009400
1.9600000000,22.0000000000,0.0340251900
1.9800000000,20.5000000000,0.0343494400
2.0000000000,19.1666700000,0.0346736900
2.0200000000,19.8333300000,0.0350379900
2.0400000000,23.3333300000,0.0353622400
2.0600000000,23.6666700000,0.0356864900
2.0800000000,23.5000000000,0.0360527000
2.1000000000,23.1666700000,0.0363769500
2.1200000000,22.6666700000,0.0367012000
2.1400000000,22.6666700000,0.0370254500
2.1600000000,22.3333300000,0.0373916600
2.1800000000,21.3333300000,0.0377159100
2.2000000000,20.3333300000,0.0380401600
2.2200000000,19.0000000000,0.0383644100
2.2400000000,16.5000000000,0.0386886600
2.2600000000,16.3333300000,0.0390129100
2.2800000000,16.3333300000,0.0393772100
2.3000000000,16.6666700000,0.0397014600
2.3200000000,17.3333300000,0.0400276200
2.3400000000,17.3333300000,0.0403518700
2.3600000000,19.3333300000,0.0407161700
2.3800000000,21.1666700000,0.0410404200
2.4000000000,23.3333300000,0.0413646700
2.4200000000,25.5000000000,0.0417308800
2.4400000000,25.5000000000,0.0420551300
2.4600000000,24.3333300000,0.0423793800
2.4800000000,23.8333300000,0.0427436800
2.5000000000,25.1666700000,0.0430679300
2.5200000000,27.5000000000,0.0433921800
2.5400000000,28.6666700000,0.0437164300
2.5600000000,28.6666700000,0.0440425900
2.5800000000,28.3333300000,0.0443668400
2.6000000000,27.6666700000,0.0447311400
2.6200000000,26.8333300000,0.0450553900
2.6400000000,25.6666700000,0.0453796400
2.6600000000,25.6666700000,0.0457038900
2.6800000000,26.5000000000,0.0460701000
