"PlayTime","LoadValue","PositionValue"
"s","N","mm"
0.0000000000,45.0000000000,0.0014591220
0.0200000000,46.1666700000,0.0017433170
0.0400000000,46.1666700000,0.0020675660
0.0600000000,46.3333300000,0.0023918150
0.0800000000,47.8333300000,0.0027160640
0.1000000000,51.5000000000,0.0030403140
0.1200000000,54.3333300000,0.0033645630
0.1400000000,55.1666700000,0.0037307740
0.1600000000,55.8333300000,0.0040550230
0.1800000000,59.5000000000,0.0043792720
0.2000000000,60.5000000000,0.0047035220
0.2200000000,59.1666700000,0.0050678250
0.2400000000,57.3333300000,0.0053939820
0.2600000000,57.3333300000,0.0057182310
0.2800000000,59.3333300000,0.0060424800
0.3000000000,59.8333300000,0.0064067840
0.3200000000,59.5000000000,0.0067710880
0.3400000000,58.8333300000,0.0070972440
0.3600000000,58.3333300000,0.0074214940
0.3800000000,58.3333300000,0.0077457430
0.4000000000,60.5000000000,0.0080699920
0.4200000000,61.6666700000,0.0083942410
0.4400000000,61.5000000000,0.0087184910
0.4600000000,60.8333300000,0.0090427400
0.4800000000,60.8333300000,0.0094070430
0.5000000000,61.6666700000,0.0097332000
0.5200000000,62.3333300000,0.0100574500
0.5400000000,62.5000000000,0.0104217500
0.5600000000,62.8333300000,0.0107460000
0.5800000000,66.3333400000,0.0110702500
0.6000000000,67.0000000000,0.0113945000
0.6200000000,66.5000000000,0.0117187500
0.6400000000,65.8333400000,0.0120449100
0.6600000000,66.0000000000,0.0124092100
0.6800000000,67.1666600000,0.0127334600
0.7000000000,67.6666600000,0.0130577100
0.7200000000,67.8333400000,0.0133819600
0.7400000000,68.6666600000,0.0137062100
0.7600000000,70.6666600000,0.0140724200
0.7800000000,73.3333400000,0.0143966700
0.8000000000,73.8333400000,0.0147209200
0.8200000000,73.8333400000,0.0150852200
0.8400000000,74.3333400000,0.0154094700
0.8600000000,75.8333400000,0.0157337200
0.8800000000,77.5000000000,0.0160999300
0.9000000000,78.1666600000,0.0164241800
0.9200000000,78.5000000000,0.0167484300
0.9400000000,79.1666600000,0.0170726800
0.9600000000,80.5000000000,0.0173969300
0.9800000000,82.6666600000,0.0177211800
1.0000000000,84.0000000000,0.0180873900
1.0200000000,85.6666600000,0.0184116400
1.0400000000,87.8333400000,0.0187358900
1.0600000000,90.5000000000,0.0190601300
1.0800000000,90.5000000000,0.0194244400
1.1000000000,90.6666600000,0.0197486900
1.1200000000,90.8333400000,0.0200748400
1.1400000000,91.6666600000,0.0203990900
1.1600000000,93.3333400000,0.0207634000
1.1800000000,94.3333400000,0.0210876500
1.2000000000,94.8333400000,0.0214119000
1.2200000000,96.1666600000,0.0217781100
1.2400000000,98.3333400000,0.0221023600
1.2600000000,101.1667000000,0.0224266100
1.2800000000,102.8333000000,0.0227508500
1.3000000000,103.3333000000,0.0230751000
1.3200000000,104.8333000000,0.0233993500
1.3400000000,106.5000000000,0.0237236000
1.3600000000,107.3333000000,0.0240478500
1.3800000000,107.8333000000,0.0244140600
1.4000000000,110.0000000000,0.0247383100
1.4200000000,112.5000000000,0.0250625600
1.4400000000,115.1667000000,0.0253868100
1.4600000000,118.0000000000,0.0257511100
1.4800000000,118.3333000000,0.0260753600
1.5000000000,118.8333000000,0.0263996100
1.5200000000,119.5000000000,0.0267257700
1.5400000000,120.5000000000,0.0270900700
1.5600000000,122.0000000000,0.0274143200
1.5800000000,123.6667000000,0.0277385700
1.6000000000,126.0000000000,0.0280628200
1.6200000000,128.3333000000,0.0283870700
1.6400000000,129.6667000000,0.0287113200
1.6600000000,129.8333000000,0.0290374800
1.6800000000,130.0000000000,0.0293617200
1.7000000000,131.1667000000,0.0297260300
1.7200000000,131.6667000000,0.0300502800
1.7400000000,132.5000000000,0.0303745300
1.7600000000,134.3333000000,0.0306987800
1.7800000000,138.3333000000,0.0310649900
1.8000000000,142.0000000000,0.0313892400
1.8200000000,145.1667000000,0.0317134900
1.8400000000,147.0000000000,0.0320777900
1.8600000000,147.8333000000,0.0324020400
1.8800000000,148.8333000000,0.0327262900
1.9000000000,153.1667000000,0.0330524400
1.9200000000,156.6667000000,0.0333766900
1.9400000000,158.8333000000,0.0337009400
1.9600000000,159.6667000000,0.0340652500
1.9800000000,159.6667000000,0.0343895000
2.0000000000,160.0000000000,0.0347137500
2.0200000000,162.0000000000,0.0350379900
2.0400000000,164.1667000000,0.0353622400
2.0600000000,165.5000000000,0.0356884000
2.0800000000,166.8333000000,0.0360527000
2.1000000000,170.3333000000,0.0363769500
2.1200000000,175.3333000000,0.0367012000
2.1400000000,178.1667000000,0.0370655100
2.1600000000,178.5000000000,0.0373916600
2.1800000000,179.3333000000,0.0377159100
2.2000000000,180.0000000000,0.0380401600
2.2200000000,182.5000000000,0.0384044600
2.2400000000,184.8333000000,0.0387287100
2.2600000000,187.0000000000,0.0390529600
2.2800000000,189.6667000000,0.0393772100
2.3000000000,192.6667000000,0.0397033700
2.3200000000,194.8333000000,0.0400276200
2.3400000000,195.8333000000,0.0403919200
2.3600000000,196.6667000000,0.0407161700
2.3800000000,198.6667000000,0.0410404200
2.4000000000,204.1667000000,0.0413646700
2.4200000000,206.0000000000,0.0417308800
2.4400000000,206.6667000000,0.0420551300
2.4600000000,207.0000000000,0.0423793800
2.4800000000,207.1667000000,0.0427436800
2.5000000000,210.6667000000,0.0430679300
2.5200000000,214.3333000000,0.0433921800
2.5400000000,217.1667000000,0.0437583900
2.5600000000,218.8333000000,0.0440826400
2.5800000000,220.5000000000,0.0444068900
2.6000000000,223.0000000000,0.0447311400
2.6200000000,224.6667000000,0.0450553900
2.6400000000,226.1667000000,0.0453796400
2.6600000000,228.3333000000,0.0457458500
2.6800000000,231.1667000000,0.0460701000
2.7000000000,234.3333000000,0.0463943500
2.7200000000,237.3333000000,0.0467186000
2.7400000000,240.6667000000,0.0470829000
2.7600000000,244.0000000000,0.0474071500
2.7800000000,246.1667000000,0.0477333100
2.8000000000,247.6667000000,0.0480976100
2.8200000000,248.3333000000,0.0484218600
2.8400000000,249.0000000000,0.0487461100
2.8600000000,251.0000000000,0.0491104100
2.8800000000,255.3333000000,0.0494365700
2.9000000000,258.8333000000,0.0497608200
2.9200000000,260.1667000000,0.0500850700
2.9400000000,260.8333000000,0.0504093200
2.9600000000,261.5000000000,0.0507335700
2.9800000000,262.6667000000,0.0510578200
3.0000000000,265.1667000000,0.0514221200
3.0200000000,269.0000000000,0.0517482800
3.0400000000,272.1667000000,0.0520725300
3.0600000000,274.6667000000,0.0523967700
3.0800000000,277.6667000000,0.0527610800
3.1000000000,282.0000000000,0.0530853300
3.1200000000,283.8333000000,0.0534095800
3.1400000000,285.5000000000,0.0537757900
3.1600000000,287.6667000000,0.0541000400
3.1800000000,290.8333000000,0.0544242900
3.2000000000,293.1667000000,0.0547485400
3.2200000000,296.1667000000,0.0551128400
3.2400000000,299.5000000000,0.0554370900
3.2600000000,303.0000000000,0.0557613400
3.2800000000,305.8333000000,0.0560874900
3.3000000000,307.0000000000,0.0564117400
3.3200000000,308.3333000000,0.0567359900
3.3400000000,310.1667000000,0.0570602400
3.3600000000,312.5000000000,0.0574245500
3.3800000000,315.5000000000,0.0577487900
3.4000000000,318.8333000000,0.0580730400
3.4200000000,320.8333000000,0.0583992000
3.4400000000,322.8333000000,0.0587635000
3.4600000000,325.1667000000,0.0590877500
3.4800000000,328.1667000000,0.0594120000
3.5000000000,330.6667000000,0.0597763100
3.5200000000,333.0000000000,0.0601024600
3.5400000000,335.1667000000,0.0604267100
3.5600000000,337.8333000000,0.0607509600
3.5800000000,341.0000000000,0.0610752100
3.6000000000,343.3333000000,0.0613994600
3.6200000000,345.8333000000,0.0617637600
3.6400000000,349.3333000000,0.0620880100
3.6600000000,353.3333000000,0.0624141700
3.6800000000,357.0000000000,0.0627384200
3.7000000000,359.0000000000,0.0630626700
3.7200000000,360.0000000000,0.0633869200
3.7400000000,361.5000000000,0.0637512200
3.7600000000,363.0000000000,0.0640754700
3.7800000000,364.8333000000,0.0643997200
3.8000000000,368.0000000000,0.0647659300
3.8200000000,372.0000000000,0.0650901800
3.8400000000,374.8333000000,0.0654144300
3.8600000000,377.5000000000,0.0657386800
3.8800000000,380.5000000000,0.0660629300
3.9000000000,384.1667000000,0.0664291400
3.9200000000,388.1667000000,0.0667533900
3.9400000000,391.8333000000,0.0670776400
3.9600000000,394.3333000000,0.0674018900
3.9800000000,395.8333000000,0.0677261400
4.0000000000,397.8333000000,0.0680503800
4.0200000000,400.3333000000,0.0683746300
4.0400000000,402.8333000000,0.0686988800
4.0600000000,405.8333000000,0.0690650900
4.0800000000,409.0000000000,0.0693893400
4.1000000000,413.3333000000,0.0697135900
4.1200000000,417.1667000000,0.0700779000
4.1400000000,419.1667000000,0.0704021500
4.1600000000,420.8333000000,0.0707263900
4.1800000000,423.1667000000,0.0710506400
4.2000000000,427.0000000000,0.0714168500
4.2200000000,431.3333000000,0.0717411000
4.2400000000,434.0000000000,0.0720653500
4.2600000000,435.0000000000,0.0723896000
4.2800000000,435.6667000000,0.0727138500
4.3000000000,437.3333000000,0.0730381000
